
📺中国央视频道,#genre#
CCTV-11,http://111.192.0.32:4022/rtp/239.3.1.152:8120
CCTV-11,http://218.241.192.50:8808/rtp/239.3.1.152:8120
CCTV-12,http://183.94.146.109:2222/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://220.249.114.102:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://42.48.50.232:9002/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://60.7.56.33:4000/rtp/239.253.92.197:6062
CCTV-12,http://60.164.128.167:8029/rtp/239.255.30.182:8231
CCTV-12,http://218.241.192.50:8808/rtp/239.3.1.64:8124
CCTV-12,http://221.221.162.225:8888/rtp/239.3.1.64:8124
CCTV-12,http://123.112.19.67:8012/rtp/239.3.1.64:8124
CCTV-12,http://115.60.241.249:2000/rtp/225.1.4.79:1108
CCTV-13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://220.249.114.102:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://42.48.50.232:9002/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://222.129.139.91:8888/rtp/239.3.1.124:8128
CCTV-13,http://183.130.30.174:8808/rtp/233.50.201.246:5140
CCTV-13,http://218.241.192.50:8808/rtp/239.3.1.124:8128
CCTV-13,http://www.furymax.top:85/rtp/239.254.96.161:9040
CCTV-13,http://111.192.0.32:4022/rtp/239.3.1.124:8128
CCTV-13,http://115.60.241.249:2000/rtp/225.1.4.113:1293
CCTV-14,http://42.48.50.232:9002/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://220.249.114.102:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://123.112.19.67:8012/rtp/239.3.1.65:8132
CCTV-14,http://www.furymax.top:85/rtp/239.69.1.107:10280
CCTV-14,http://218.241.192.50:8808/rtp/239.3.1.65:8132
CCTV-14,http://221.221.167.14:8888/rtp/239.3.1.65:8132
CCTV-14,http://123.113.189.90:8001/rtp/239.3.1.65:8132
CCTV-14,http://60.164.128.167:8029/rtp/239.255.30.183:8231
CCTV-15,http://42.48.50.232:9002/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://183.94.146.109:2222/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
